"","IRIS","population"
"1359","781900101",719
"1360","781900102",745
"1361","781900103",1465
"1362","781900104",770
"1363","782080101",1803
"1364","782080102",1449
"1365","782080103",1077
"1366","782080104",773
"1367","782080105",794
"1368","782080106",1008
"1369","782080107",878
"1370","782080108",1810
"1371","782170101",655
"1372","782170102",4080
"1373","782170103",1705
"1374","782200101",3813
"1375","782200102",2910
"1376","782420101",697
"1377","782420102",1634
"1378","782420103",550
"1379","782420104",803
"1380","782420105",1200
"1381","782420106",500
"1382","782670101",2376
"1383","782670102",2690
"1384","782670103",1913
"1385","782970101",1499
"1386","782970102",627
"1387","782970103",2061
"1388","782970104",1299
"1389","782970105",1076
"1390","782970106",971
"1391","782970107",1134
"1392","782970108",2111
"1393","782970109",3
"1394","783110101",860
"1395","783110102",808
"1396","783110103",830
"1397","783110201",857
"1398","783110202",796
"1399","783110203",700
"1400","783110301",853
"1401","783110302",1053
"1402","783110303",1535
"1403","783110401",720
"1404","783110402",683
"1405","783110403",832
"1406","783110501",810
"1407","783110502",1365
"1408","783220101",2056
"1409","783220102",2697
"1410","783220103",450
"1411","783220104",1668
"1412","783350101",1686
"1413","783350102",1036
"1414","783350103",1298
"1415","783350104",1058
"1416","783350105",1507
"1417","783350106",72
"1418","783500101",2460
"1419","783500102",2066
"1420","783500103",2251
"1421","783540101",1872
"1422","783540102",1813
"1423","783540103",1885
"1424","783560101",3684
"1425","783560102",1888
"1426","783560103",1868
"1427","783560104",1780
"1428","783580101",957
"1429","783580102",882
"1430","783580103",1067
"1431","783580104",887
"1432","783580105",1372
"1433","783580106",821
"1434","783580107",822
